GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tekirdagSecim,default,Party,20,0,0,0,9,0,5,0,5,0
tekirdagSecim,default,main,92,0,10,0,22,0,11,0,6,0
